scavo,us,reperto,materiale,tipologia,note,data,operatore
11,13,1,1,1,orlo,2020-01-24,2
11,7,2,2,11,lama coltello ferro,2020-01-24,3
11,5,3,1,5,fondo ceramica,2020-01-24,2
11,8,4,1,5,fondo ceramica,2020-01-24,2
11,10,5,3,12,spillone bronzo,2020-01-24,3
11,11,6,13,13,ciottolo coppellato,2020-01-24,4
11,17,7,3,14,frammenti di fibula decorata,2020-02-05,1
11,17,8,3,15,medaglione rotondo,2020-02-05,2
11,22,9,3,16,elemento piatto con apicagnolo,2020-02-05,3
11,18,10,3,12,frammento di spillone,2020-02-05,4
11,24,11,1,6,attacco d'ansa,2020-02-05,3
11,24,12,1,1,orlo,2020-02-05,3
11,24,13,1,1,orlo,2020-02-05,3
11,24,14,1,1,orlo,2020-02-05,2
11,10,15,1,1,orlo,2020-02-05,2
11,10,16,1,1,orlo,2020-02-05,3
11,10,17,1,1,orlo,2020-02-05,4
11,10,18,2,17,chiodo,2020-02-05,3
11,10,19,3,16,elemento in bronzo,2020-02-05,2
11,29,20,1,1,orlo,2020-02-05,3
11,28,21,1,1,orlo,2020-02-05,1
11,13,22,1,1,orlo,2020-02-11,1
11,13,23,1,1,orlo,2020-02-11,2
11,13,24,1,1,orlo,2020-02-11,3
11,13,25,1,1,orlo,2020-02-11,4
11,13,26,1,1,orlo,2020-02-11,3
11,13,27,1,1,orlo,2020-02-11,2
11,13,28,1,1,orlo,2020-02-11,2
11,13,29,1,1,orlo,2020-02-11,3
11,13,30,1,1,orlo,2020-02-11,2
11,13,31,1,1,orlo,2020-02-11,3
11,13,32,1,1,orlo,2020-02-11,3
11,13,33,1,6,attacco d'ansa,2020-02-11,2
11,13,34,1,6,attacco d'ansa,2020-02-11,2
11,13,35,1,5,piede,2020-02-11,2
11,13,36,1,1,orlo,2020-02-11,2
11,13,37,2,17,chiodo,2020-02-11,4
11,13,38,2,17,testa di chiodo,2020-02-11,4
11,32,39,1,1,orlo,2020-02-11,4
11,32,40,1,1,orlo,2020-02-11,2
11,32,41,1,1,piede,2020-02-11,2
11,32,42,1,1,piede,2020-02-11,1
11,32,43,2,16,elemento di ferro,2020-02-11,1
11,32,44,2,17,chiodo,2020-02-11,2
11,32,45,2,17,chiodo,2020-02-11,2
11,10,46,3,16,elemento piegato,2020-02-12,3
11,41,47,3,16,elemento frammentato,2020-02-12,4
11,10,48,3,18,ago in bronzo,2020-02-12,3
11,10,49,1,5,fondo,2020-02-12,3
